iter,model,chain,manipulation, manipulation_level, parameter,utt,emo,value,prob,score
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,1,3.203753445981963e-7,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,2,0.0018703669039239602,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,3,0.2471953480206488,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,4,0.7297400889432262,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,5,0.021181868303537084,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,6,0.000012007453319427784,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,smile,1,0.20916704278265894,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,smile,2,0.23832532918033844,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,smile,3,0.2636129881284034,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,smile,4,0.28889463990859926,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,smile,1,0.2850119981138338,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,smile,2,0.26360698096878743,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,smile,3,0.2383313363485028,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,smile,4,0.21304968456887602,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,emoComm,good,smile,true,0.5281713771057022,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,1,1.1414546848567978e-7,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,2,0.0004718549208099947,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,3,0.9986870503646991,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,4,0.0007661126793452334,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,5,0.00007486517481493765,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,6,2.7148623785316396e-9,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,smile,1,0.35763812302135867,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,smile,2,0.3734330238329303,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,smile,3,0.2689288531457112,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,smile,4,5.985114511231631e-20,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,smile,1,0.03145643156902046,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,smile,2,0.11717527578763501,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,smile,3,0.3734323819297034,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,smile,4,0.4779359107136412,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,emoComm,bad,smile,true,0.3604594793229853,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,1,0.00001082030743675792,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,2,0.03435215981791234,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,3,0.9645972225295509,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,4,0.0010152513818908933,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,5,0.00002453270397817306,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,6,1.3259230685800089e-8,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,frown,1,0.10141409627338005,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,frown,2,0.19976520145222681,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,frown,3,0.2994949877180327,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,frown,4,0.39932571455636057,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,frown,1,0.40090623142143067,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,frown,2,0.29959591352299764,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,frown,3,0.1996642759133252,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,frown,4,0.09983357914224657,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,emoComm,good,frown,true,0.014238133877849824,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,frown,1,0.000007125712793160471,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,frown,2,0.02612247131683882,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,frown,3,0.9738693784700574,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,frown,4,9.469629077561338e-7,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,frown,5,7.753473299077647e-8,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,frown,6,2.6698917602001534e-12,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,frown,1,0.6564806214370962,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,frown,2,0.28173117688450766,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,frown,3,0.06178820167833472,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,frown,4,6.157198978230466e-14,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,frown,1,0.008842414529574204,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,frown,2,0.20775518035540452,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,frown,3,0.28173020526277714,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,frown,4,0.5016721998522442,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,emoComm,bad,frown,true,0.6342181638131127,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,smile,1,0.000025438229595700168,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,smile,2,0.0007997969188609522,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,smile,3,0.01440856779523989,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,smile,4,0.14675023697752254,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,smile,5,0.37196959052875456,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,smile,6,0.4660463695500264,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,good,smile,1,0.2473119088575675,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,good,smile,2,0.24934228814032247,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,good,smile,3,0.2508968852893332,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,good,smile,4,0.2524489177127768,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,infGoal,good,smile,1,0.25196800612684106,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,infGoal,good,smile,2,0.250894320564077,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,infGoal,good,smile,3,0.24934485286607688,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,infGoal,good,smile,4,0.24779282044300507,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,emoComm,good,smile,true,0.5019688495824769,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,bad,smile,1,0.0001510635616434815,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,bad,smile,2,0.0033630603029375004,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,bad,smile,3,0.9702489644767232,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,bad,smile,4,0.0025678905234126463,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,bad,smile,5,0.021912718754311264,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,bad,smile,6,0.00175630238097222,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,bad,smile,1,0.3759248008493462,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,bad,smile,2,0.3628040189906177,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,bad,smile,3,0.2612711801600362,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,bad,smile,4,7.92088137098632e-17,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,infGoal,bad,smile,1,0.05903067756712627,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,infGoal,bad,smile,2,0.11384312823456716,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,infGoal,bad,smile,3,0.3627991247899862,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,infGoal,bad,smile,4,0.46432706940832036,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,emoComm,bad,smile,true,0.36594563752305515,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,frown,1,0.01178158196094525,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,frown,2,0.20143882388594836,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,frown,3,0.7710148446112993,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,frown,4,0.002799757438194085,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,frown,5,0.005907786655272641,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,state,good,frown,6,0.007057205448340204,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,good,frown,1,0.11203226246812042,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,good,frown,2,0.19765875373407635,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,good,frown,3,0.295978208105575,18.306105029399642
0,Mb7_UttBalEmoTruBal,1,state_manipulation,bad,socGoal,good,frown,4,0.39433077569222813,18.306105029399642
